naId,type,score,contributor,scopeAndContentNote,records_type,title,parent_series_title,start_date,end_date,creator,thumbnail,record_group,archive,tags
536084,description,0.037318874,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. George Kita, and Norris James, War Relocation Authority Official, in an interview at this War Relocation Authority center during a CBS nationwide hookup.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536084/opa-renditions/thumbnails/20-1540M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536089,description,0.037318874,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees of Japanese ancestry at this War Relocation Authority center. Some ice has been found in a thermos and is used.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536089/opa-renditions/thumbnails/20-1545M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536007,description,0.037318874,"Albers, Clem","The full caption for this photograph reads: Parker, Arizona. View of partially developed site of War Relocation Authority Center for evacuees of Japanese ancestry on the Colorado River Indian Reservation.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536007/opa-renditions/thumbnails/20-1467M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536009,description,0.037318874,"Albers, Clem","The full caption for this photograph reads: Poston, Arizona. Rolls of roofing used in the construction of the War Relocation Authority center located on the Colorado River Indian Reservation.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536009/opa-renditions/thumbnails/20-1469M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538505,description,0.037308816,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Memorial Day services at Manzanar, a War Relocation Authority where evacuees of Japanese ancestry will spend the duration . American Legion members and Boy Scouts participated in the services.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538505/opa-renditions/thumbnails/21-1905M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538506,description,0.037308816,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Memorial Day services at Manzanar, a War Relocation Authority center where evcauees of Japanese will spend the duration. American Legion members and Boy Scouts participated in the services.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538506/opa-renditions/thumbnails/21-1906M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
537418,description,0.0372674,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Construction continues on the War Relocation Authority center for evacuees of Japanese ancestry on the Colorado River Indian Reservation. Three units in the center are scheduled to house 20,000 evacuees eventually.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537418/opa-renditions/thumbnails/20-2866M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538559,description,0.03725971,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees of Japanese ancestry watching performance at this War Relocation Authority center where they are spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538559/opa-renditions/thumbnails/21-1959M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538008,description,0.03725971,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Karl Yoneda, Block Leader at this War Relocation Authority center for evacuees of Japanese ancestry. He is married to a Caucasian and they have a child four years old. The family are spending the duration at this center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538008/opa-renditions/thumbnails/21-1414M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536886,description,0.03725971,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority center for evacuees of Japanese ancestry, in Owens Valley, flanked by the High Sierras and Mount Whitney, loftiest peak in the United States.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536886/opa-renditions/thumbnails/20-2336M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536889,description,0.03725971,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority center for evacuees of Japanese ancestry, in Owens Valley, flanked by the High Sierras and Mount Whitney, loftiest peak in the United States.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536889/opa-renditions/thumbnails/20-2339M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536843,description,0.03725971,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority center for evacuees of Japanese ancestry, in Owens Valley, flanked by the High Sierras and Mount Whitney, loftiest peak in the United States.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536843/opa-renditions/thumbnails/20-2293M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536848,description,0.03725971,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority center for evacuees of Japanese ancestry, in Owens Valley, flanked by the High Sierras and Mount Whitney, loftiest peak in the United States.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536848/opa-renditions/thumbnails/20-2298M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
537422,description,0.037235156,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Enjoying an afternoon stroll at this War Relocation Authority Center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537422/opa-renditions/thumbnails/20-2870M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538073,description,0.037235156,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Evacuee of Japanese ancestry at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538073/opa-renditions/thumbnails/21-1478M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)",Japanese
538530,description,0.037164453,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Ariozna. Mrs. Iwasaki tidies up her home at this War Relocation Authority center. Her family was the first family to be admitted to this center where evacuees are now spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538530/opa-renditions/thumbnails/21-1930M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538289,description,0.037164453,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A view of a farm a few miles south of the Minidoka War Relocation Authority center. Beans are growing in the foreground.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538289/opa-renditions/thumbnails/21-1689M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538292,description,0.037164453,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A view of a wheat farm a few miles south of the Minidoka War Relocation Authority center for evacuees of Japanese descent.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538292/opa-renditions/thumbnails/21-1692M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
539655,description,0.037112977,"Mace, Charles E., photographer","The full caption for this photograph reads: Closing of the Jerome Relocation Center, Denson, Arkansas. War Relocation Authority official and transportation officers check out a truck load of Jerome residents as they pass through the gate to the tracks where they are to entrain for the Gila River Center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/539655/opa-renditions/thumbnails/21-3029M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538666,description,0.037112977,"Parker, Tom","The full caption for this photograph reads: Topaz, Utah. A young Nisei agricultural section foreman, together with a War Relocation Authority agricultural expert, inspects alfalfa on a section of the land taken over for the production of animal forage at the Topaz Relocation Center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538666/opa-renditions/thumbnails/21-2066M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538571,description,0.037112977,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. The newspaper staff at this War Relocation Authority center. Evacuees of Japanese ancestry publish their own newspaper which not only keeps evacuees informed of current happenings in their center, but also affords openings to follow their callings in this field.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538571/opa-renditions/thumbnails/21-1971M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538296,description,0.037112977,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view, taken from the top of the water tower at the east end of the camp. shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538296/opa-renditions/thumbnails/21-1696M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)",construction
538298,description,0.037112977,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view, taken from the top of the water tower at the east end of the Center, shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538298/opa-renditions/thumbnails/21-1698M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538299,description,0.037112977,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view taken from the top of the water tower at the east end of the Center, shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538299/opa-renditions/thumbnails/21-1699M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538300,description,0.037112977,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view, taken from the top of the water tower at the east end of the Center, shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538300/opa-renditions/thumbnails/21-1700M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538302,description,0.037112977,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view, taken from the top of the water tower at the east end of the Center, shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538302/opa-renditions/thumbnails/21-1702M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
537381,description,0.037112977,"Van Tassel, Gretchen","The full caption for this photograph reads: Rohwer Relocation Center, McGehee, Arkansas. Doctor P. A. Weber, from the War Relocation Authority office in Salt Lake City, who speaks fluent Japanese, talks with some of the evacuees during the visit of a Relocation Team to the Rohwer Project.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537381/opa-renditions/thumbnails/20-2829M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
537970,description,0.03708783,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Evacuees of Japanese ancestry at this War Relocation Authority center line up at warehouse Number 26 for their allotment of soap. Four bars of soap are distributed to each apartment on designated days. One representative of each apartment room must appear presenting his identification tag.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537970/opa-renditions/thumbnails/21-1377M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
2284719,description,0.03708783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
538290,description,0.03708724,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A view of a farm a few miles south of the Minidoka War Relocation Authority center. Beans are growing in the foreground.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538290/opa-renditions/thumbnails/21-1690M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536576,description,0.03708724,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Minidoka Relocation Center. This picture shows other view of apartment. War Relocation Authority furnishes sleeping equipment, only other thing furnished is a light globe.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536576/opa-renditions/thumbnails/20-2028M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)",cots
537118,description,0.036958557,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. Welders in the machine shop at this War Relocation Authority center. They are left to right: Shig Yamaguchi, evacuee from Gilroy, California, where he was a high school student; Skip Sato, former mining geology student at the University of California at Berkeley. His home, prior to evacuation was at Brawley, California.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537118/opa-renditions/thumbnails/20-2567M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","welders, Asian Americans, smile, Arizona"
538301,description,0.036958557,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view, taken from the top of the water tower at the east end of the Center, shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538301/opa-renditions/thumbnails/21-1701M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
537117,description,0.036958557,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. Welders in the machine shop at this War Relocation Authority center. They are left to right: Shig Yamaguchi, evacuee from Gilroy, California, where he was a high school student; Skip Sato, former mining geology student at the University of California at Berkeley. His home, prior to evacuation was at Brawley, California.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537117/opa-renditions/thumbnails/20-2566M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
539879,description,0.03693282,"Iwasaki, Hikaru, 1923-","The full caption for this photograph reads: Poston, Arizona. Rose Yamada and Mitsuye Ohye look wistfully at War Relocation Authority photographs of Postonites who have successfully relocated on the outside. These pictures are tacked up on the walls of the administration building. Although there are no residents left in Camps I and III at the Colorado River Relocation Center, there are still about 3,000 residents planningg to leave Unit I before the first of December.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/539879/opa-renditions/thumbnails/22-0166M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538297,description,0.036907084,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Eden, Idaho. A panorama view of the Minidoka War Relocation Authority center. This view, taken from the top of the water tower at the east end of the Center, shows partially completed barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538297/opa-renditions/thumbnails/21-1697M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536141,description,0.035610165,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Arrival of young evacuee cripple of Japanese ancestry by ambulance to this War Relocation Authority center. A doctor is in attendance.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536141/opa-renditions/thumbnails/20-1597M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","War Relocation Center, Arizona"
71986536,description,0.033798102,NA,"This resource is located in Ottawa County, Ohio. Areas of significance include: Civil War: War in the West; Civil War: War in the East. The National Historic Places Register Reference Number is 75001514_NHL.",Textual Records,NA,NA,NA,NA,NA,https://catalog.archives.gov/catalogmedia/live/electronic-records/rg-079/NPS_OH/75001514_NHL.pdf/opa-renditions/thumbnails/75001514_NHL.pdf-thumb.jpg,NA,Electronic Records Archives (ERA),"Danbury Township, Ottawa"
538527,description,0.03235782,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. Group of evacuee children enjoying game of Black Jack at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538527/opa-renditions/thumbnails/21-1927M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)",ArchivesGameNight
538126,description,0.03235782,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Street scene of barrack homes at this War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538126/opa-renditions/thumbnails/21-1531M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538133,description,0.03235782,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. View of barrack homes at this War Relocation Authority center, showing outside entrances.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538133/opa-renditions/thumbnails/21-1538M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538011,description,0.03235782,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Young evacuees of Japanese ancestry at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538011/opa-renditions/thumbnails/21-1417M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538013,description,0.03235782,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. A young evacuee of Japanese ancestry at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538013/opa-renditions/thumbnails/21-1419M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538014,description,0.03235782,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. A young evacuee of Japanese ancestry at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538014/opa-renditions/thumbnails/21-1420M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536968,description,0.03235782,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. A group picture of all the wardens at this War Relocation Authority Center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536968/opa-renditions/thumbnails/20-2418M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536894,description,0.03235782,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Clipping stories on their migration at this War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536894/opa-renditions/thumbnails/20-2344M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536310,description,0.03235782,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Buses arrive bringing evacuees of Japanese ancestry to this War Relocation Authority center to spend the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536310/opa-renditions/thumbnails/20-1765M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536196,description,0.03235782,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Building first house at Tule Lake War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536196/opa-renditions/thumbnails/20-1652M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536197,description,0.03235782,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins April 23, 1942 on this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536197/opa-renditions/thumbnails/20-1653M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536134,description,0.03235782,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees are brought in by car and truck from the train to this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536134/opa-renditions/thumbnails/20-1590M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536135,description,0.03235782,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees of Japanese ancestry spending their first day at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536135/opa-renditions/thumbnails/20-1591M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536136,description,0.03235782,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees of Japanese ancestry spending their first day at this War Relocation Authority center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536136/opa-renditions/thumbnails/20-1592M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536095,description,0.03235782,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees fire truck crew prepare for eventualities at this War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536095/opa-renditions/thumbnails/20-1551M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
